,BLAN,,MLBS,,SCBI,,SERC,,,Rank,BLAN,MLBS,SCBI,SERC
Acer,0,0,228,0.300395257,1,0.008547009,79,0.174392936,,1,0.72972973,0.384716733,0.222222222,0.269315673
Ailanthus,1,0.027027027,0,0,0,0,0,0,,2,0.189189189,0.300395257,0.222222222,0.200883002
Amelanchier,0,0,90,0.118577075,0,0,0,0,,3,0.027027027,0.118577075,0.196581197,0.174392936
Asimina,0,0,0,0,1,0.008547009,0,0,,4,0.027027027,0.115942029,0.128205128,0.12803532
Carpinus,0,0,0,0,0,0,19,0.041942605,,5,0.027027027,0.028985507,0.094017094,0.088300221
Carya,0,0,1,0.001317523,4,0.034188034,7,0.015452539,,6,,0.0171278,0.05982906,0.041942605
Castanea,0,0,1,0.001317523,0,0,0,0,,7,,0.013175231,0.034188034,0.039735099
Celtis,1,0.027027027,0,0,3,0.025641026,0,0,,8,,0.013175231,0.025641026,0.015452539
Cornus,0,0,0,0,0,0,3,0.006622517,,9,,0.005270092,0.008547009,0.015452539
Diospyros,1,0.027027027,0,0,0,0,0,0,,10,,0.001317523,0.008547009,0.008830022
Fagus,0,0,0,0,0,0,122,0.269315673,,11,,0.001317523,,0.006622517
Fraxinus,0,0,0,0,26,0.222222222,0,0,,12,,,,0.006622517
Ilex,0,0,0,0,0,0,7,0.015452539,,13,,,,0.004415011
Juglans,27,0.72972973,0,0,15,0.128205128,0,0,,,,,,
Liquidambar,0,0,0,0,0,0,58,0.12803532,,,,,,
Liriodendron,0,0,0,0,23,0.196581197,91,0.200883002,,,,,,
Magnolia,0,0,13,0.0171278,0,0,0,0,,,,,,
Nyssa,0,0,88,0.115942029,0,0,18,0.039735099,,,,,,
Paulownia,0,0,0,0,0,0,3,0.006622517,,,,,,
Pinus,0,0,4,0.005270092,0,0,4,0.008830022,,,,,,
Prunus,0,0,10,0.013175231,0,0,0,0,,,,,,
Quercus,0,0,292,0.384716733,7,0.05982906,40,0.088300221,,,,,,
Robinia,7,0.189189189,10,0.013175231,11,0.094017094,0,0,,,,,,
Sassafras,0,0,0,0,26,0.222222222,2,0.004415011,,,,,,
Tsuga,0,0,22,0.028985507,0,0,0,0,,,,,,
TOTAL,37,1,759,1,117,1,453,1,,,,,,
