"","lakeid","ice_on","ice_off","ice_duration","year"
"122","Lake Mendota",1975-01-02,1975-04-19,107,1974
"123","Lake Mendota",1975-12-27,1976-03-24,88,1975
"124","Lake Mendota",1976-12-03,1977-03-28,115,1976
"125","Lake Mendota",1977-12-07,1978-04-11,123,1977
"126","Lake Mendota",1978-12-10,1979-04-19,118,1978
"127","Lake Mendota",1979-12-29,1980-04-06,99,1979
"128","Lake Mendota",1980-12-20,1981-03-23,93,1980
"129","Lake Mendota",1981-12-28,1982-04-03,96,1981
"130","Lake Mendota",1983-01-13,1983-03-08,54,1982
"131","Lake Mendota",1983-12-19,1984-04-08,111,1983
"132","Lake Mendota",1984-12-25,1985-03-27,85,1984
"133","Lake Mendota",1985-12-14,1986-03-31,107,1985
"134","Lake Mendota",1986-12-13,1987-03-12,89,1986
"135","Lake Mendota",1988-01-02,1988-03-29,87,1987
"136","Lake Mendota",1988-12-29,1989-04-05,97,1988
"137","Lake Mendota",1989-12-12,1990-03-15,93,1989
"138","Lake Mendota",1990-12-26,1991-03-24,88,1990
"139","Lake Mendota",1991-12-18,1992-03-26,99,1991
"140","Lake Mendota",1992-12-24,1993-04-11,108,1992
"141","Lake Mendota",1993-12-27,1994-03-31,94,1993
"142","Lake Mendota",1995-01-06,1995-03-21,74,1994
"143","Lake Mendota",1995-12-10,1996-04-07,119,1995
"144","Lake Mendota",1996-12-20,1997-04-01,102,1996
"145","Lake Mendota",1998-01-11,1998-02-27,47,1997
"146","Lake Mendota",1998-12-30,1999-03-21,81,1998
"147","Lake Mendota",2000-01-14,2000-03-07,53,1999
"148","Lake Mendota",2000-12-13,2001-04-07,115,2000
"149","Lake Mendota",2002-01-02,2002-03-15,21,2001
"150","Lake Mendota",2003-01-04,2003-04-03,89,2002
"151","Lake Mendota",2004-01-07,2004-03-27,80,2003
"152","Lake Mendota",2004-12-25,2005-04-05,101,2004
"153","Lake Mendota",2005-12-19,2006-03-24,95,2005
"154","Lake Mendota",2007-01-20,2007-03-27,66,2006
"155","Lake Mendota",2007-12-26,2008-04-10,106,2007
"156","Lake Mendota",2008-12-16,2009-03-23,97,2008
"157","Lake Mendota",2009-12-29,2010-03-26,87,2009
"158","Lake Mendota",2010-12-15,2011-04-03,110,2010
"159","Lake Mendota",2012-01-14,2012-03-11,57,2011
"160","Lake Mendota",2013-01-14,2013-04-11,87,2012
"161","Lake Mendota",2013-12-16,2014-04-12,117,2013
"162","Lake Mendota",2015-01-02,2015-04-03,91,2014
"163","Lake Mendota",2016-01-11,2016-03-13,62,2015
"164","Lake Mendota",2017-01-01,2017-03-07,65,2016
"165","Lake Mendota",2017-12-27,2018-03-31,94,2017
"166","Lake Mendota",2018-12-15,2019-03-31,86,2018
"167","Lake Mendota",2020-01-12,2020-03-22,70,2019
