"","lakeid","ice_on","ice_off","ice_duration","year"
"3","Lake Mendota",1855-12-18,1856-04-14,118,1855
"4","Lake Mendota",1856-12-06,1857-05-06,151,1856
"5","Lake Mendota",1857-11-25,1858-03-26,121,1857
"6","Lake Mendota",1858-12-08,1859-03-14,96,1858
"7","Lake Mendota",1859-12-07,1860-03-26,110,1859
"8","Lake Mendota",1860-12-14,1861-04-10,117,1860
"9","Lake Mendota",1861-12-02,1862-04-13,132,1861
"10","Lake Mendota",1862-12-26,1863-04-09,104,1862
"11","Lake Mendota",1863-12-18,1864-04-21,125,1863
"12","Lake Mendota",1864-12-08,1865-04-05,118,1864
"13","Lake Mendota",1865-12-14,1866-04-18,125,1865
"14","Lake Mendota",1866-12-18,1867-04-20,123,1866
"15","Lake Mendota",1867-12-12,1868-03-31,110,1867
"16","Lake Mendota",1868-12-10,1869-04-16,127,1868
"17","Lake Mendota",1869-12-02,1870-04-12,131,1869
"18","Lake Mendota",1870-12-24,1871-04-02,99,1870
"19","Lake Mendota",1871-12-19,1872-04-23,126,1871
"20","Lake Mendota",1872-11-30,1873-04-23,144,1872
"21","Lake Mendota",1873-11-29,1874-04-14,136,1873
"22","Lake Mendota",1874-12-10,1875-04-15,126,1874
"23","Lake Mendota",1876-01-10,1876-04-10,91,1875
"24","Lake Mendota",1876-12-08,1877-04-17,130,1876
"25","Lake Mendota",1878-01-06,1878-03-09,62,1877
"26","Lake Mendota",1878-12-21,1879-04-12,112,1878
"27","Lake Mendota",1879-12-17,1880-03-25,99,1879
"28","Lake Mendota",1880-11-23,1881-05-03,161,1880
"29","Lake Mendota",1882-01-02,1882-03-21,78,1881
"30","Lake Mendota",1882-12-10,1883-04-13,124,1882
"31","Lake Mendota",1883-12-18,1884-04-15,119,1883
"32","Lake Mendota",1884-12-17,1885-04-20,124,1884
"33","Lake Mendota",1885-12-12,1886-04-19,128,1885
"34","Lake Mendota",1886-12-05,1887-04-15,131,1886
"35","Lake Mendota",1887-12-24,1888-04-15,113,1887
"36","Lake Mendota",1889-01-02,1889-03-31,88,1888
"37","Lake Mendota",1890-01-14,1890-03-30,75,1889
"38","Lake Mendota",1890-12-26,1891-04-16,111,1890
"39","Lake Mendota",1891-12-27,1892-04-02,97,1891
"40","Lake Mendota",1892-12-16,1893-04-07,112,1892
"41","Lake Mendota",1893-12-04,1894-03-15,101,1893
"42","Lake Mendota",1894-12-28,1895-04-08,101,1894
"43","Lake Mendota",1896-01-05,1896-04-05,91,1895
"44","Lake Mendota",1896-12-21,1897-04-10,110,1896
"45","Lake Mendota",1897-12-17,1898-03-27,100,1897
"46","Lake Mendota",1898-12-09,1899-04-18,130,1898
"47","Lake Mendota",1899-12-27,1900-04-17,111,1899
"48","Lake Mendota",1900-12-25,1901-04-11,107,1900
"49","Lake Mendota",1901-12-15,1902-03-30,105,1901
"50","Lake Mendota",1902-12-25,1903-03-24,89,1902
"51","Lake Mendota",1903-12-13,1904-04-17,126,1903
"52","Lake Mendota",1904-12-14,1905-04-01,108,1904
"53","Lake Mendota",1906-01-01,1906-04-08,97,1905
"54","Lake Mendota",1906-12-20,1907-03-24,94,1906
"55","Lake Mendota",1908-01-01,1908-03-24,83,1907
"56","Lake Mendota",1908-12-22,1909-04-07,106,1908
"57","Lake Mendota",1909-12-18,1910-03-26,98,1909
"58","Lake Mendota",1910-12-09,1911-03-20,101,1910
"59","Lake Mendota",1911-12-28,1912-04-14,108,1911
"60","Lake Mendota",1912-12-24,1913-04-02,99,1912
"61","Lake Mendota",1914-01-12,1914-04-10,88,1913
"62","Lake Mendota",1914-12-16,1915-04-10,115,1914
"63","Lake Mendota",1915-12-28,1916-04-08,102,1915
"64","Lake Mendota",1916-12-16,1917-04-11,116,1916
"65","Lake Mendota",1917-12-11,1918-04-05,115,1917
"66","Lake Mendota",1919-01-03,1919-03-26,82,1918
"67","Lake Mendota",1919-12-09,1920-03-28,110,1919
"68","Lake Mendota",1920-12-25,1921-03-16,81,1920
"69","Lake Mendota",1921-12-25,1922-03-31,96,1921
"70","Lake Mendota",1922-12-16,1923-04-20,125,1922
"71","Lake Mendota",1924-01-01,1924-04-14,104,1923
"72","Lake Mendota",1924-12-19,1925-04-03,105,1924
"73","Lake Mendota",1925-12-16,1926-04-19,124,1925
"74","Lake Mendota",1926-12-06,1927-03-19,103,1926
"75","Lake Mendota",1927-12-17,1928-04-01,106,1927
"76","Lake Mendota",1928-12-21,1929-03-27,96,1928
"77","Lake Mendota",1929-12-03,1930-03-20,107,1929
"78","Lake Mendota",1930-12-16,1931-03-24,98,1930
"79","Lake Mendota",1932-01-30,1932-04-04,65,1931
"80","Lake Mendota",1932-12-10,1933-04-04,115,1932
"81","Lake Mendota",1933-12-25,1934-03-26,91,1933
"82","Lake Mendota",1934-12-24,1935-03-28,94,1934
"83","Lake Mendota",1935-12-20,1936-03-30,101,1935
"84","Lake Mendota",1936-12-07,1937-04-13,121,1936
"85","Lake Mendota",1937-12-07,1938-03-22,105,1937
"86","Lake Mendota",1938-12-28,1939-04-04,97,1938
"87","Lake Mendota",1940-01-02,1940-04-16,105,1939
"88","Lake Mendota",1941-01-05,1941-04-11,96,1940
"89","Lake Mendota",1942-01-03,1942-03-26,82,1941
"90","Lake Mendota",1942-12-07,1943-04-02,116,1942
"91","Lake Mendota",1943-12-16,1944-04-08,114,1943
"92","Lake Mendota",1944-12-18,1945-03-20,92,1944
"93","Lake Mendota",1945-12-13,1946-03-21,98,1945
"94","Lake Mendota",1946-12-30,1947-04-10,101,1946
"95","Lake Mendota",1947-12-21,1948-04-03,104,1947
"96","Lake Mendota",1948-12-24,1949-03-30,96,1948
"97","Lake Mendota",1949-12-23,1950-04-11,109,1949
"98","Lake Mendota",1950-12-11,1951-04-12,122,1950
"99","Lake Mendota",1951-12-16,1952-04-08,114,1951
"100","Lake Mendota",1952-12-30,1953-03-21,81,1952
"101","Lake Mendota",1953-12-30,1954-03-25,85,1953
"102","Lake Mendota",1955-01-02,1955-04-04,92,1954
"103","Lake Mendota",1955-12-12,1956-04-04,114,1955
"104","Lake Mendota",1956-12-14,1957-04-04,111,1956
"105","Lake Mendota",1957-12-30,1958-04-04,95,1957
"106","Lake Mendota",1958-12-09,1959-04-14,126,1958
"107","Lake Mendota",1959-12-29,1960-04-12,105,1959
"108","Lake Mendota",1960-12-19,1961-04-06,108,1960
"109","Lake Mendota",1961-12-16,1962-04-12,117,1961
"110","Lake Mendota",1962-12-12,1963-04-03,112,1962
"111","Lake Mendota",1963-12-20,1964-04-11,113,1963
"112","Lake Mendota",1964-12-15,1965-04-14,120,1964
"113","Lake Mendota",1966-01-11,1966-03-17,65,1965
"114","Lake Mendota",1966-12-26,1967-04-03,98,1966
"115","Lake Mendota",1967-12-27,1968-03-27,91,1967
"116","Lake Mendota",1968-12-17,1969-04-10,108,1968
"117","Lake Mendota",1969-12-16,1970-04-08,113,1969
"118","Lake Mendota",1970-12-24,1971-04-13,110,1970
"119","Lake Mendota",1972-01-05,1972-04-19,105,1971
"120","Lake Mendota",1972-12-07,1973-03-14,97,1972
"121","Lake Mendota",1973-12-21,1974-04-05,105,1973
