"","subplot_id","replicate","plot","subplot","date","tag","species","dbh_cm","health_status","canopy_status","notes"
"20","D03W","D",3,"W",2018-06-25,539,"ACRU",12.6,"L","OS",NA
"21","C03W","C",3,"W",2018-06-28,1195,"ACRU",10,"L","OS","Shared base with 1194"
"22","B03W","B",3,"W",2018-07-05,2058,"ACRU",10,"L","UN","2057-2059 share base"
"23","D04W","D",4,"W",2018-06-21,9,"ACRU",8.7,"L","OD","0007-0009 SHARE BASE"
"24","C04W","C",4,"W",2018-06-29,1436,"ACRU",12.5,"L","OS",NA
"25","D04E","D",4,"E",2018-06-22,150,"ACRU",11.8,"L","OD","0148- 0150 SHARE BASE"
"26","A04W","A",4,"W",2018-07-12,2575,"ACSA3",26.2,"L","OD",NA
"27","A02E","A",2,"E",2018-07-13,3113,"ACSA3",15.2,"L","OS",NA
"28","A03W","A",3,"W",2018-07-11,2443,"ACSA3",30.6,"L","OD","2442 & 2443 share base"
"29","A04E","A",4,"E",2018-07-12,2716,"ACSA3",16.5,"L","OS",NA
"30","A02W","A",2,"W",2018-07-13,3024,"ACSA3",19.7,"L","OS","3022-3024 share base, 3024 in new plot 120"
"31","A04W","A",4,"W",2018-07-12,2630,"ACSA3",14.1,"L","OS","Shares base with smaller tree"
"32","A04W","A",4,"W",2018-07-12,2610,"ACSA3",21.9,"L","OS",NA
"33","A01W","A",1,"W",2018-07-13,2915,"ACSA3",11.7,"L","UN",NA
"34","A04E","A",4,"E",2018-07-12,2706,"ACSA3",13.5,"L","OS",NA
"35","A03E","A",3,"E",2018-07-11,2485,"ACSA3",20.6,"L","OD","2484 - 2485 share base"
"36","A03E","A",3,"E",2018-07-11,2549,"ACSA3",12.3,"L","OS","2549 - 2550 share bse"
"37","A04E","A",4,"E",2018-07-12,2727,"ACSA3",28.1,"L","OS",NA
"38","A02W","A",2,"W",2018-07-13,3060,"ACSA3",26.4,"L","OS","3059-3060 share base"
"39","A03W","A",3,"W",2018-07-11,2444,"ACSA3",11.4,"L","OS",NA
"40","A04W","A",4,"W",2018-07-12,2586,"ACSA3",21.4,"L","OS",NA
"41","A04W","A",4,"W",2018-07-12,2595,"ACSA3",19.3,"L","OS",NA
"42","A04E","A",4,"E",2018-07-12,2745,"ACSA3",23.5,"L","OS",NA
"43","A02W","A",2,"W",2018-07-13,3049,"ACSA3",18.3,"L","OS",NA
"44","A03W","A",3,"W",2018-07-11,2415,"ACSA3",28.8,"L","OS","2414 & 2415 share base"
"45","A04E","A",4,"E",2018-07-12,2681,"ACSA3",10.4,"L","OS",NA
"46","A03E","A",3,"E",2018-07-11,2563,"ACSA3",13.3,"L","OS","2560 - 2563 share base, taken above DBH"
"47","A01W","A",1,"W",2018-07-13,2929,"ACSA3",15.4,"L","OS","2927-2929 share base"
"48","A02E","A",2,"E",2018-07-13,3105,"ACSA3",20.2,"L","OS","3104-3105 share base"
"49","A04W","A",4,"W",2018-07-12,2611,"ACSA3",14,"L","OS","2611 - 2612 share base"
"50","A03W","A",3,"W",2018-07-11,2428,"ACSA3",10.6,"L","OS","2428 & 2429 share base"
"51","C02W","C",2,"W",2018-06-27,1020,"BEPA",8.7,"L","UN","Shared base with 1021"
"52","B04W","B",4,"W",2018-07-06,2239,"BEPA",26.8,"L","OS","2237-2239 share base"
"53","B02W","B",2,"W",2018-07-05,1773,"BEPA",36.1,"L","OD","read as outside plot at 18.22"
"54","A03W","A",3,"W",2018-07-11,2417,"BEPA",14.6,"L","OS",NA
"55","C01E","C",1,"E",2018-06-26,816,"BEPA",15,"L","OS","816-817 share base"
"56","C03W","C",3,"W",2018-06-28,1161,"BEPA",8.2,"L","UN",NA
"57","D03W","D",3,"W",2018-06-25,563,"BEPA",10.2,"L","OS",NA
"58","C02W","C",2,"W",2018-06-27,1021,"BEPA",8.7,"L","UN","Shared base with 1020"
"59","B03E","B",3,"E",2018-07-06,2136,"BEPA",19.9,"L","OD",NA
"60","C03E","C",3,"E",2018-06-29,1300,"BEPA",19.1,"L","OS","in new plot 334"
"61","C04E","C",4,"E",2018-06-29,1544,"BEPA",21.7,"L","OS",NA
"62","C01E","C",1,"E",2018-06-26,766,"BEPA",12,"L","OS","765-766 share base"
"63","B04E","B",4,"E",2018-07-06,2337,"BEPA",32.9,"L","OD","2337 - 2338 share base"
"64","C01W","C",1,"W",2018-06-27,889,"BEPA",15,"L","OS",NA
"65","B02E","B",2,"E",2018-07-05,1883,"BEPA",33,"L","OD","1881-1883 share base, 1883 reading taken above DBH"
"66","B04W","B",4,"W",2018-07-06,2237,"BEPA",17.3,"L","OS","2237-2239 share base"
"67","C03E","C",3,"E",2018-06-28,1290,"BEPA",17.2,"L","OS",NA
"68","C03E","C",3,"E",2018-06-29,1356,"BEPA",13.8,"L","OS",NA
"69","B03W","B",3,"W",2018-07-05,2014,"BEPA",35.7,"L","OS",NA
"70","A03W","A",3,"W",2018-07-11,2393,"BEPA",9.1,"L","OS",NA
"71","B04W","B",4,"W",2018-07-06,2238,"BEPA",23.9,"L","OS","2237-2239 share base"
"72","C04W","C",4,"W",2018-06-29,1450,"BEPA",18,"L","OD",NA
"73","B02E","B",2,"E",2018-07-05,1882,"BEPA",42.2,"L","OD","1881-1883 share base, 1882 reading taken above DBH"
"74","B04E","B",4,"E",2018-07-06,2338,"BEPA",26.4,"L","OD","2337 - 2338 share base"
"75","C04W","C",4,"W",2018-06-29,1456,"BEPA",15.4,"L","OD",NA
"76","A03W","A",3,"W",2018-07-11,2457,"FAGR",11.8,"L","UN","2456 - 2457 share base"
"77","A02E","A",2,"E",2018-07-13,3098,"FAGR",15.6,"L","UN",NA
"78","A03E","A",3,"E",2018-07-11,2537,"FAGR",11.2,"L","UN","2537 - 2538 share base"
"79","A03W","A",3,"W",2018-07-11,2454,"FAGR",21.1,"L","OS",NA
"80","B02W","B",2,"W",2018-07-05,1842,"FAGR",7.8,"L","UN","REDACT, under minimum DBH, reading taken above DBH"
"81","C04E","C",4,"E",2018-06-29,1469,"FAGR",16.1,"L","UN","1466-1470 share base"
"82","B02E","B",2,"E",2018-07-05,1901,"FAGR",10.1,"L","UN",NA
"83","B02E","B",2,"E",2018-07-05,1872,"FAGR",25.8,"L","OS",NA
"84","A03W","A",3,"W",2018-07-11,2419,"FAGR",1.8,"L","SA","In SW veg plot"
"85","D03W","D",3,"W",2018-06-25,538,"FAGR",12.8,"L","OS",NA
"86","A03E","A",3,"E",2018-07-11,2512,"FAGR",8.9,"L","OS","2511 - 2513 share base"
"87","B03E","B",3,"E",2018-07-05,2079,"FAGR",10.5,"L","UN",NA
"88","D02W","D",2,"W",2018-06-22,242,"FAGR",8.7,"L","UN",NA
"89","B02E","B",2,"E",2018-07-05,1915,"FAGR",10.7,"L","OS",NA
"90","B01W","B",1,"W",2018-07-03,1649,"FAGR",1.5,"L","UN","NW veg plot"
"91","A02W","A",2,"W",2018-07-13,3056,"FAGR",12.3,"L","OS",NA
"92","C02E","C",2,"E",2018-06-28,1038,"FAGR",11.3,"L","UN","Shared base with 1039"
"93","A03E","A",3,"E",2018-07-11,2513,"FAGR",15.1,"L","OD","2511 - 2513 share base"
"94","C04E","C",4,"E",2018-06-29,1467,"FAGR",14.1,"L","UN","1466-1470 share base"
"95","B02W","B",2,"W",2018-07-05,1767,"FAGR",11.9,"L","OS","1766-1767 share base w/ third <8cm"
"96","A03E","A",3,"E",2018-07-11,2545,"FAGR",27.8,"L","OD","2545- 2547 share base"
"97","B02W","B",2,"W",2018-07-05,1766,"FAGR",14.5,"L","OS","1766-1767 share base w/ third <8cm"
"98","A01W","A",1,"W",2018-07-13,2973,"FAGR",8.3,"L","UN","2971-2973 share base"
"99","A01E","A",1,"E",2018-07-12,2859,"FAGR",14.8,"L","OS","2859 - 2861 share base"
"100","A04E","A",4,"E",2018-07-12,2718,"FAGR",8.9,"L","UN","Smaller trees at base"
"101","B01W","B",1,"W",2018-07-03,1619,"POGR4",37.4,"L","OD",NA
"102","D04E","D",4,"E",2018-06-22,189,"POGR4",15.4,"L","OS",NA
"103","A01E","A",1,"E",2018-07-12,2773,"POGR4",41.6,"L","OD",NA
"104","A03W","A",3,"W",2018-07-11,2409,"POGR4",27.8,"L","OD",NA
"105","A04E","A",4,"E",2018-07-12,2748,"POGR4",44.3,"L","OD",NA
"106","C02E","C",2,"E",2018-06-28,1137,"POGR4",25.3,"L","OD",NA
"107","C01E","C",1,"E",2018-06-26,716,"POGR4",21.7,"L","OD",NA
"108","A01E","A",1,"E",2018-07-12,2791,"POGR4",36.4,"L","OD",NA
"109","B03E","B",3,"E",2018-07-06,2127,"POGR4",15.6,"L","OS",NA
"110","B03W","B",3,"W",2018-07-05,1972,"POGR4",41,"L","OD",NA
"111","A01E","A",1,"E",2018-07-12,2772,"POGR4",36.2,"L","OD",NA
"112","B02E","B",2,"E",2018-07-05,1876,"POGR4",15.4,"L","OS",NA
"113","A03W","A",3,"W",2018-07-11,2408,"POGR4",36,"L","OD",NA
"114","D04W","D",4,"W",2018-06-21,132,"POGR4",13.7,"L","OD",NA
"115","B04E","B",4,"E",2018-07-06,2291,"POGR4",24.3,"L","OD",NA
"116","B02W","B",2,"W",2018-07-05,1797,"POGR4",40,"L","OD",NA
"117","B03W","B",3,"W",2018-07-05,2048,"POGR4",47.9,"L","OD",NA
"118","C02E","C",2,"E",2018-06-28,1029,"POGR4",24.3,"L","OD",NA
"119","D04W","D",4,"W",2018-06-21,143,"POGR4",9.8,"L","OS",NA
"120","A01W","A",1,"W",2018-07-13,2950,"POGR4",40.6,"L","OD",NA
"121","C02E","C",2,"E",2018-06-28,1126,"POGR4",24.8,"L","OD",NA
"122","D04W","D",4,"W",2018-06-21,125,"POGR4",14.5,"L","OD",NA
"123","D04E","D",4,"E",2018-06-22,191,"POGR4",31.8,"L","OD",NA
"124","C02W","C",2,"W",2018-06-27,930,"POGR4",29.8,"L","OD",NA
"125","B02W","B",2,"W",2018-07-05,1758,"POGR4",33.2,"L","OD","read as outside plot at 18.06 m"
