"","subplot_id","replicate","plot","subplot","date","tag","species","dbh_cm","health_status","canopy_status","notes"
"1","B01E","B",1,"E",2018-07-04,1707,"ACRU",22.1,"L","OD","1706-1708 share base"
"2","B04E","B",4,"E",2018-07-06,2312,"ACRU",1.7,"L","UN","In SW veg plot"
"3","B03W","B",3,"W",2018-07-05,2010,"ACRU",10.2,"L","UN","2008-2010 share base"
"4","B01E","B",1,"E",2018-07-04,1678,"ACRU",12.7,"L","OS","1677-1679 share base"
"5","C04W","C",4,"W",2018-06-29,1363,"ACRU",8,"L","OS",NA
"6","B03W","B",3,"W",2018-07-05,2035,"ACRU",23.1,"L","OS",NA
"7","B02E","B",2,"E",2018-07-05,1945,"ACRU",25.3,"L","OS","1945-1947 share base"
"8","B01E","B",1,"E",2018-07-04,1725,"ACRU",9.8,"L","OS","1722-1725 share base"
"9","C02W","C",2,"W",2018-06-27,974,"ACRU",12.4,"L","OS","Shared base with 973"
"10","B02E","B",2,"E",2018-07-05,1947,"ACRU",18.6,"L","OS","1945-1947 share base"
"11","B04E","B",4,"E",2018-07-06,2319,"ACRU",8.4,"L","OS",NA
"12","C04E","C",4,"E",2018-06-29,1541,"ACRU",16,"L","OD","1541-1543 share base"
"13","B02W","B",2,"W",2018-07-05,1753,"ACRU",26.3,"L","OS","1749 + 1753 share base"
"14","C04E","C",4,"E",2018-06-29,1542,"ACRU",20.6,"L","OD","1541-1543 share base"
"15","B03E","B",3,"E",2018-07-06,2129,"ACRU",1.8,"L","UN","In NW veg plot"
"16","D02E","D",2,"E",NA,318,"ACRU",13.3,"L","OS","Cluster"
"17","B03E","B",3,"E",2018-07-06,2095,"ACRU",25.1,"L","OD","2095 - 2097 share base, in a cluster with 2098 and 2099"
"18","C03W","C",3,"W",2018-06-28,1225,"ACRU",8.2,"L","OS","In a cluster with smaller trees"
"19","B02W","B",2,"W",2018-07-05,1774,"ACRU",23.1,"L","OS","1774-1775 share base, 1774 in new plot 220"
