genus,siteID,frequency
Ailanthus,BLAN,1
Celtis,BLAN,1
Diospyros,BLAN,1
Juglans,BLAN,27
Robinia,BLAN,7
Acer,MLBS,228
Amelanchier,MLBS,90
Carya,MLBS,1
Castanea,MLBS,1
Magnolia,MLBS,13
Nyssa,MLBS,88
Pinus,MLBS,4
Prunus,MLBS,10
Quercus,MLBS,292
Robinia,MLBS,10
Tsuga,MLBS,22
Acer,SCBI,1
Asimina,SCBI,1
Carya,SCBI,4
Celtis,SCBI,3
Fraxinus,SCBI,26
Juglans,SCBI,15
Liriodendron,SCBI,23
Quercus,SCBI,7
Robinia,SCBI,11
Sassafras,SCBI,26
Acer,SERC,79
Carpinus,SERC,19
Carya,SERC,7
Cornus,SERC,3
Fagus,SERC,122
Ilex,SERC,7
Liquidambar,SERC,58
Liriodendron,SERC,91
Nyssa,SERC,18
Paulownia,SERC,3
Pinus,SERC,4
Quercus,SERC,40
Sassafras,SERC,2
